example,quote,change,tag,
"В последним предложении он пишет про нас можно сказать, что мы состовляем как бы исключение среди народов.",последним,последнем,Ortho,
"В последним предложении он пишет про нас можно сказать, что мы состовляем как бы исключение среди народов.",состовляем,составляем,Ortho,
Я сразу выхожу из комнати и откриваю холодильник чтобы ведеть что остается.,комнати,комнаты,Ortho,
Я сразу выхожу из комнати и откриваю холодильник чтобы ведеть что остается.,откриваю,открываю,Ortho,
И она дала отпор смерте.,смерте,смерти,Infl,
В начале двадцатого века в Америке продажа акогола стала нелегальной.,акогола,алкоголя,Ortho,
"В 1963 он был аресторан, и в следущом году был суд.",аресторан,арестован,Ortho,
"В 1963 он был аресторан, и в следущом году был суд.",следущом,следующем,Infl,
"Парни боятся, что их выганют из школы, но всё равно хотят показать своё уважение к своему бывшему профессору и другу.",выганют,выгонят,Ortho,
Первие признаки осеньи видны на деревьях золотистами цветами.,первие,первые,Ortho,
Первие признаки осеньи видны на деревьях золотистами цветами.,осеньи ,осени,Ortho,
Первие признаки осеньи видны на деревьях золотистами цветами.,золотистами,золотистыми,Infl,
"Он хороший пример "" лишного человека"" русской литературы XIX века.",лишного,лишнего,Infl,
"В Швеции, фирма Ерикссон требует новых рабочых, кто знают много о технологии и так дале - может быть я стремлюсь найти работу в той фирме.",рабочых,рабочих,Ortho,
"Во всяком случае я очень довольна обучениям, которое я получила там.",обучениям,обучением,Gov,
"Давним давно семья мыши, которые жили счастливо в мышей страна, столкнулся с серьезной проблемой.",давним,давным,Ortho,
Ну рабочие место я получила.,рабочие ,рабочее,Ortho,
В прошлом летом я отдыхала с молодом человеком в Грузии.,прошлом,прошлым,Gov,[в] Prep+Extra
В прошлом летом я отдыхала с молодом человеком в Грузии.,молодом,молодым,Infl,
До школи я била в детском саду.,школи ,школы,Ortho,
До школи я била в детском саду.,била ,была,Ortho,
"Это было для меня важным занятиям, и я ходила много раз в неделю на тренировки.",занятиям,занятием,Gov,
Я хорошо училась и была замечательни студент.,замечательни,замечательным,Infl,
"Чем больше Вы будите улыбаться, тем больше Вы начнете чувствовать себя счастливым.",будите,будете,Ortho,
"Язык не мертвой, он живой, и постоянно изменяющийся.",мертвой,мертвый,Ortho,
Последная важная информация о мне – моя фамилия.,последная,последняя,Infl,
Этам летом я буду работаю.,этам,этим,Infl,
"Сдраствуйте, на этой недели не получится прийти, но на следущей я могла бы прийти в понедельник после четырёх?",сдраствуйте,здравствуйте,Ortho,
"Сдраствуйте, на этой недели не получится прийти, но на следущей я могла бы прийти в понедельник после четырёх?",недели,неделе,Ortho,
"Сдраствуйте, на этой недели не получится прийти, но на следущей я могла бы прийти в понедельник после четырёх?",следущей,следующей,Ortho,
С моим друг играим футбол.,играим,играем,Ortho,
"Однако менталитеты оставлся очень традиционнами, и женщины работали 15 часа больше, чем мужчины каждое недело, в заводе и дома.",традиционнами,традиционными,Ortho,
"Однако менталитеты оставлся очень традиционнами, и женщины работали 15 часа больше, чем мужчины каждое недело, в заводе и дома.",недело,неделю,Infl,
"В США тинейджеры могут работать с шестнадцати лет и найти работу достаточно легко, однако с высшим образованием в США можно получить болеепрестижную и высокооплачиваимаю рботу.",высокооплачиваимаю,высокооплачиваемую,Ortho,
Я в них ен разбираюсь и не знаю какой телефон лучше всех или какой компьютер с самыми лучшеми особенностьями.,лучшеми ,лучшими,Ortho,
Я в них ен разбираюсь и не знаю какой телефон лучше всех или какой компьютер с самыми лучшеми особенностьями.,особенностьями,особенностями,Ortho,
"Один из моих любимих писателей- бразильский писатель, поэт и прозаик Пауло Коэльо.",любимих ,любимых,Ortho,
"В последнии дни мама пыталась пугать меня, спрашивала не страшно ли мне, как я справлюсь, не буду ли скучать, не передумала ли я. Наверно около года папа и мама каждый день звонили мне.",последнии,последние,Ortho,
"Больше всего от таких условиев страдают дети, ведь они даже не понимают почему такое случается.",условиев,условий,Infl,
Первый раз мы провели время вместе было_ когда у меня был вопрос о домашной работе.,домашной,домашней,Infl,
В самом новом дополнение Natural Disaster будут природные катастрофы.,дополнение,дополнении,Gov,
"На данный момент я скучаю по фигурному катанию, по ледовому, по работе тренером и по фигуристом.",фигуристом,фигуристам,Ortho,
В обеeх городах я работал в садике с детми.,обеeх,обоих,Ortho,
В обеeх городах я работал в садике с детми.,детми,детьми,Ortho,
После обеда он немного читал газету и потом он начал писать письмо маму.,маму,маме,Gov,
"Уже давно назад тому, когда я вспоминала своеи ранные годы в школе.",ранные,ранние,Infl,
Парки там более зелёние и хорошие чем в Стонкгольм.,зелёние,зелёные,Ortho,
"В настоящим мире на улице кто-то идёт один, кто-то в компании в бар или клуб.",настоящим,настоящем,Ortho,
Все люди ходят в хорошом настроений.,хорошом,хорошем,Ortho,
Все люди ходят в хорошом настроений.,настроений,настроении,Gov,
Мой любимой вид спорта- настольный теннис.,любимой,любимый,Ortho,
"Многое, что мы знаем, передалось нам от древнех времён.",древнех,древних,Ortho,
Надо только сравнивать жизни финнов с жизнью африканцов.,африканцов,африканцев,Ortho,
