example,quote,change,tag,комментарий
"В последним предложении он пишет про нас можно сказать, что мы состовляем как бы исключение среди народов.",состовляем,составляем,Ortho,
Я сразу выхожу из комнати и откриваю холодильник чтобы ведеть что остается.,комнати,комнаты,Ortho,
,откриваю,открываю,Ortho,
,ведеть,видеть,Ortho,
И она дала отпор смерте.,смерте,смерти,Ortho,
В начале двадцатого века в Америке продажа акогола стала нелегальной.,алкогола,алкоголя,Infl,
"В 1963 он был аресторан, и в следущом году был суд.",аресторан,арестован,Ortho,
,следущом,следующем,Ortho,
"Парни боятся, что их выганют из школы, но всё равно хотят показать своё уважение к своему бывшему профессору и другу.",выганют,выгонят,Ortho,
Первие признаки осеньи видны на деревьях золотистами цветами.,осеньи,осени,Infl,
"Он хороший пример "" лишного человека"" русской литературы XIX века.",лишного,лишнего,Infl,
"В Швеции, фирма Ерикссон требует новых рабочых, кто знают много о технологии и так дале - может быть я стремлюсь найти работу в той фирме.",рабочых,рабочих,Ortho,
,дале,далее,Ortho,
"Во всяком случае я очень довольна обучениям, которое я получила там.",обучениям,обучением,Ortho,
"Давним давно семья мыши, которые жили счастливо в мышей страна, столкнулся с серьезной проблемой.",давним,давным,Ortho,
,страна,стране,Gov,
Ну рабочие место я получила.,рабочие,рабочее,Ortho,
В прошлом летом я отдыхала с молодом человеком в Грузии.,прошлом,прошлым,Gov,
,молодом,молодым,Gov,
До школи я била в детском саду.,школи,школы,Ortho,
,била,была,Ortho,
"Это было для меня важным занятиям, и я ходила много раз в неделю на тренировки.",занятиям,занятием,Ortho,
Я хорошо училась и была замечательни студент.,замечательни,замечательным,Infl Gov,
,студент,студентом,Gov,
"Чем больше Вы будите улыбаться, тем больше Вы начнете чувствовать себя счастливым.",будите,будете,Ortho,
"Язык не мертвой, он живой, и постоянно изменяющийся.",мертвой,мертвый,Ortho,
Последная важная информация о мне – моя фамилия.,последная,последняя,Infl,
Этам летом я буду работаю.,этам,этим,Infl,
"Сдраствуйте, на этой недели не получится прийти, но на следущей я могла бы прийти в понедельник после четырёх?",сдравствуйте,здравствуйте,Ortho,
,недели,неделе,Ortho,
,следущей,следующей,Ortho,
С моим друг играим футбол.,друг,другом,Gov,
,играим,играем,Ortho,
"Однако менталитеты оставлся очень традиционнами, и женщины работали 15 часа больше, чем мужчины каждое недело, в заводе и дома.",оставлся,оставался,Ortho,
,традиционнами,традиционными,Ortho,
,часа,часов,Gov,
,недело,неделю,Infl,
"В США тинейджеры могут работать с шестнадцати лет и найти работу достаточно легко, однако с высшим образованием в США можно получить болеепрестижную и высокооплачиваимаю рботу.",высокооплачиваимаю,высокоплачиваемою,Ortho,
Я в них ен разбираюсь и не знаю какой телефон лучше всех или какой компьютер с самыми лучшеми особенностьями.,ен,не,Ortho,
,лучшеми,лучшими,Ortho,
,особенностьями,особенностями,Infl,
"Один из моих любимих писателей- бразильский писатель, поэт и прозаик Пауло Коэльо.",любимих,любимых,Ortho,
"В последнии дни мама пыталась пугать меня, спрашивала не страшно ли мне, как я справлюсь, не буду ли скучать, не передумала ли я. Наверно около года папа и мама каждый день звонили мне.",последнии,последние,Ortho,
"Больше всего от таких условиев страдают дети, ведь они даже не понимают почему такое случается.",условиев,условий,Infl,
Первый раз мы провели время вместе было_ когда у меня был вопрос о домашной работе.,домашной,домашней,Infl,
В самом новом дополнение Natural Disaster будут природные катастрофы.,дополнение,дополнении,Gov,
"На данный момент я скучаю по фигурному катанию, по ледовому, по работе тренером и по фигуристом.",фигуристом,фигуристам,Gov,
В обеeх городах я работал в садике с детми.,обеех,обеих,Ortho,
,детми,детьми,Ortho,
После обеда он немного читал газету и потом он начал писать письмо маму.,маму,маме,Gov,
"Уже давно назад тому, когда я вспоминала своеи ранные годы в школе.",своеи,свои,Ortho,
,ранные,ранние,Ortho,
Парки там более зелёние и хорошие чем в Стонкгольм.,зелёние,зелёные,Ortho,
,Стонкгольм,Стокгольме,Ortho Gov,
"В настоящим мире на улице кто-то идёт один, кто-то в компании в бар или клуб.",настоящим,настоящем,Ortho,
Все люди ходят в хорошом настроений.,хорошом,хорошем,Ortho,
,настроений,настроении,Ortho,
Мой любимой вид спорта- настольный теннис.,любимой,любимый,Ortho,
"Многое, что мы знаем, передалось нам от древнех времён.",древнех,древних,Ortho,
Надо только сравнивать жизни финнов с жизнью африканцов.,африканцов,африканцев,Ortho,
