example,tag,quote,change,комментарий
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,ortho,поехола,поехала,схожесть фонетических особенностей
,misspell,Эфельную,Эйфелевую,невозможно объяснить
,ortho,циганей,цыган,мена ы/и
"Кочегар – пероидически положит уголь в камин, на пример, в старом поезде, чтобы огонь не кончился.",ortho,пероидически,периодически,перестановка двух соседних элементов
"Туристы смогут осмотреть многоэтажные брощенные дома, школы, и мертвые деревни, где среди бела дня бегают волки и дикие кабаны.",ortho,брощенные,брошенные,схожесть символов
В это петлю попадает каждий иммигрант который покидает свою родину,ortho,каждий,каждый,схожесть фонетических особенностей
"Человек продук общества и обстоятельств, которые происчодят в его жизни.",typo,происчодят,происходят,"замена буквы, не объяснимая фонетикой"
,typo,продук,продукт,пропуск буквы
"Конечно, есть личные идеологии и мнениея, но общество сильное и оно вокруг нас каждый момент нашего существования и оно имеет очень сильныйимпакт на нашу жизнь.",misspell,мнениея,мнения,лишняя буква
"А также два президента Российской Федерации, В. Путин и Д. А Медведев, являются вупискниками СПбГУ",ortho,вупискниками,выпускниками,перестановка двух соседних элементов
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые.",typo,веши,вещи,схожесть символов
,ortho,путошествие,путешествие,схожесть фонетических особенностей
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",typo,очены,очень,схожесть символов
,ortho,павезло,повезло,схожесть фонетических особенностей
,ortho,што,что,схожесть фонетических особенностей
,ortho,магу,могу,схожесть фонетических особенностей
,ortho+typo,гаварит,говорить,схожесть фонетических особенностей+пропуск буквы
,ortho+typo,песаты,писать,схожесть фонетических особенностей+схожесть символов
,misspell,риски,русски,невозможно объяснить
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",typo,димаю,думаю,"замена буквы, не объяснимая фонетикой"
,ortho,што,что,схожесть фонетических особенностей
,ortho,ето,это,схожесть фонетических особенностей
,typo,очены,очень,схожесть символов
,ortho,поможит,поможет,схожесть фонетических особенностей
,ortho,ва,во,схожесть фонетических особенностей
,ortho+typo,сабираюс,собираюсь,схожесть фонетических особенностей+пропуск буквы
,typo,делат,делать,пропуск буквы
из за етово когда они взроцлеют они продолжают её читать.,ortho,етово,этого,схожесть фонетических особенностей
,ortho,взроцлеют,взрослеют,схожесть фонетических особенностей
Антон был очень добрый малчик и всегда заботился о бабушке.,typo,малчик,мальчик,пропуск буквы
И она дала отпор смерте.,ortho,смерте,смерти,схожесть фонетических особенностей
Если она устала испозуют инвалидной коляской.,typo,испозуют,используют,пропуск букв
"Однако, так как она была безответственно матерью, однажди она попросила своей девочке отнести к бабушке хлеб, масло и вино.",ortho,однажди,однажды,схожесть фонетических особенностей
"Весь дом был чыстый когда пришла и волк был одет в бабушкой одежде ( он, кроме другие лиц, был умным волком).",ortho,чыстый,чистый,схожесть фонетических особенностей
Спасибо болшой но у меня есть уже что-то чтобы сесть.,typo,болшой,большой,пропуск буквы
У тебя такие болшие ушы.,typo,болшие,большие,пропуск букв
,ortho,ушы,уши,схожесть фонетических особенностей
"1. Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",ortho,завут,зовут,схожесть фонетических особенностей
,ortho,скривается,скрывается,схожесть фонетических особенностей
"1. Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",ortho,страни,страны,мена ы/и
,typo,берю,верю,схожесть символов
,ortho,достоточно,достаточно,схожесть фонетических особенностей
,misspell,интересоваятся,интересуются,"замена букв, не объяснимая фонетикой"
1. Красиво и окуратно.,ortho,окуратно,аккуратно,схожесть фонетических особенностей+пропуск буквы
"1. Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",ortho,жаждущих,жаждующих,пропуск буквы
,misspell,гуды,году,"замена букв, не объяснимая фонетикой"
"1. Они ходят на этот курс, чтобы получить бывшие квалификацы.",ortho,квалификацы,квалификации,схожесть фонетических особенностей
