example,quote,change,tag,Комментарии,комментарии еще будут дополняться
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,поехола,поехала,Ortho,,
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,Эфельную,Эйфелеву,Misspell,,
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,циганей,цыган,Misspell,,
"Кочегар – пероидически положит уголь в камин, на пример, в старом поезде, чтобы огонь не кончился.",пероидически,периодически,Misspell,,
"Туристы смогут осмотреть многоэтажные брощенные дома, школы, и мертвые деревни, где среди бела дня бегают волки и дикие кабаны.",брощенные,заброшенные,Ortho, другая ошибка,
В это петлю попадает каждий иммигрант который покидает свою родину,каждий,каждый,Ortho,,
"Человек продук общества и обстоятельств, которые происчодят в его жизни. ",продук,продукт,Ortho,,
"Человек продук общества и обстоятельств, которые происчодят в его жизни. ",происчодят,происходят,Ortho,х = ch,
"Конечно, есть личные идеологии и мнениея, но общество сильное и оно вокруг нас каждый момент нашего существования и оно имеет очень сильныйимпакт на нашу жизнь.",мнениея,мнения,Ortho,,
"А также два президента Российской Федерации, В. Путин и Д. А Медведев, являются вупискниками СПбГУ.",вупискниками,выпускниками,Ortho,,
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые.",веши,вещи,Ortho,,
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые.",путошествые,путешествия,Misspell,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",очены,очень,Ortho,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",павезло,повезло,Ortho,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",што,что,Ortho,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",магу,могу,Ortho,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",гаварит,говорить,Misspell,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",песаты,писать,Misspell,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",по риски,по-русски,Misspell,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",димаю,думаю,Ortho,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",што,что,Ortho,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",ето,это,Ortho,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",очены,очень,Ortho,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",поможит,поможет,Ortho,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",ва,во,Ortho,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",сабираюс,собираюсь,Misspell,,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",делат,делать,Ortho,,
из за етово когда они взроцлеют они продолжают её читать.,етово,этого,Misspell,,
из за етово когда они взроцлеют они продолжают её читать.,взроцлеют,взрослеют,Ortho,,
Антон был очень добрый малчик и всегда заботился о бабушке.,малчик,мальчик,Ortho,,
,смерте,смерти,?,другая ошибка на окончание,
Если она устала испозуют инвалидной коляской.,испозуют,использовать,Misspell,?,
"Однако, так как она была безответственно матерью, однажди она попросила своей девочке отнести к бабушке хлеб, масло и вино.",безответственно,безответственной,Ortho,другая ошибка,
"Однако, так как она была безответственно матерью, однажди она попросила своей девочке отнести к бабушке хлеб, масло и вино.",однажди,однажды,Ortho,,
"Весь дом был чыстый когда пришла и волк был одет в бабушкой одежде ( он, кроме другие лиц, был умным волком).",чыстый,чистый,Ortho,,
Спасибо болшой но у меня есть уже что-то чтобы сесть.,болшой,большое,Ortho, другая ошибка,
Спасибо болшой но у меня есть уже что-то чтобы сесть.,сесть,съесть,Ortho,,
У тебя такие болшие ушы.,болшие,большие,Ortho,,
У тебя такие болшие ушы.,ушы,уши,Ortho,,
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",завут,зовут,Ortho,,
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",скривается,скрывается,Ortho,,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",страни,страны,Ortho,,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",берю,верю,Ortho,,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",достоточно,достаточно,Ortho,,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",интересоваятся,интересуются,Misspell,другая ошибка,
Красиво и окуратно.,окуратно,аккуратно,Ortho,,
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",учение,ученые,Ortho,,
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",гуды,году,Ortho,,
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",устроится,утроится,Misspell,,
"Они ходят на этот курс, чтобы получить бывшие квалификацы.",квалификацы,квалификации,Misspell,,
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",ано,оно,Ortho,,
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",соеграло,сыграло,Misspell,,
"Во время СССР небыло, как он сказала об образовании, xорошиx текник, так что врачи не могли сделать серьёзные анализы.",текник,техник,Ortho,,
Симейноя жизьнь в моём мнение выглядит по другому.,симейноя,семейная,Ortho,,
Симейноя жизьнь в моём мнение выглядит по другому.,жизьнь,жизнь,Ortho,,
Есть больше быворы.,быворы,выборы,Misspell,,
Но только если он идёт безустановленно на пойске драгоценности.,пойске,поиске,Ortho,,
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",сводобным,свободным,Misspell,,
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",пренудительным,принудительным,Ortho,,
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",сводобный,свободный,Misspell,,
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",соответсвенно,соответственно,Ortho,,
"Конечно же, всё не может быт совершенным.",быт,быть,Ortho,,
Я думаю что это случо хороwо описавоет что такое друг.,случо,случай,Misspell,,
Я думаю что это случо хороwо описавоет что такое друг.,хороwо,хорошо,Ortho,,
Я думаю что это случо хороwо описавоет что такое друг.,описавоет,описывает,Misspell,,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",рекламые,рекламные,Ortho,,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",именнио,именно,Ortho,,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",псохолог,психолог,Ortho,,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",дуамаю,думаю,Ortho,,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",нидивидуальность,индивидуальность,Misspell,,
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",настайвать,настаивать,Ortho,,
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",тоько,только,Ortho,,
"Заниатя проходят онлайн, поетому у меня много свободного времени.",заниатя,занятия,Misspell,,
"Заниатя проходят онлайн, поетому у меня много свободного времени.",поетому,поэтому,Ortho,,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",компутерные,компьтерные,Misspell,,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",другых,другие,Misspell,,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",третые,третьи,Misspell,,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",учаться,учатся,Ortho,другая ошибка,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",хорошым,хорошем,Ortho,другая ошибка,
Там он встречает одну девушку которая его вдухвляет.,вдухвляет,вдохновляет,Misspell,,
