example,quote,change,tag,доп. тег,комментарии
"В последним предложении он пишет про нас можно сказать, что мы состовляем как бы исключение среди народов.",состовляем,составляем,Ortho,,
"В последним предложении он пишет про нас можно сказать, что мы состовляем как бы исключение среди народов.",последним,последнем,Infl,,"Infl+Subst, ср.В статье не говорять о побочним действиях нелегальных наркотиках"
Я сразу выхожу из комнати и откриваю холодильник чтобы ведеть что остается.,комнати,комнаты,Gov,,
Я сразу выхожу из комнати и откриваю холодильник чтобы ведеть что остается.,откриваю,открываю,Ortho,,
Я сразу выхожу из комнати и откриваю холодильник чтобы ведеть что остается.,ведеть,видеть,Ortho,,
И она дала отпор смерте.,смерте,смерти,Infl,,
В начале двадцатого века в Америке продажа акогола стала нелегальной.,алкогола,алкоголь,Infl,,
В начале двадцатого века в Америке продажа акогола стала нелегальной.,акогола,алкоголь,Ortho,Miss,
"В 1963 он был аресторан, и в следущом году был суд.",аресторан,арестован,Ortho,Subst,замена в на р
"В 1963 он был аресторан, и в следущом году был суд.",следущом,следующем,Ortho,Misspell,
"Парни боятся, что их выганют из школы, но всё равно хотят показать своё уважение к своему бывшему профессору и другу.",выганют,выгонят,Infl,,
Первие признаки осеньи видны на деревьях золотистами цветами.,первие,первые,Infl,,
Первие признаки осеньи видны на деревьях золотистами цветами.,осеньи,осени,Infl,,
Первие признаки осеньи видны на деревьях золотистами цветами.,золотистами,золотистыми,Ortho,,
Первие признаки осеньи видны на деревьях золотистами цветами.,,,,,"видны не может управлять творительным падежом(Gov). Что делать, если золотистыми цветами здесь вообще лишнее? Получается, что правильная форма это ее отсутствие."
"Он хороший пример "" лишного человека"" русской литературы XIX века.",лишного,лишнего,Infl,,
"В Швеции, фирма Ерикссон требует новых рабочых, кто знают много о технологии и так дале - может быть я стремлюсь найти работу в той фирме.",рабочых,рабочих,Ortho,,
"В Швеции, фирма Ерикссон требует новых рабочых, кто знают много о технологии и так дале - может быть я стремлюсь найти работу в той фирме.",дале,далее,Ortho,Miss,
"Во всяком случае я очень довольна обучениям, которое я получила там.",обучениям,обучению,Gov,,"выглядит еще как форма множественного числа, но ""которое"" согласуется по единственному"
"Давним давно семья мыши, которые жили счастливо в мышей страна, столкнулся с серьезной проблемой.",мыши,мышей,Gov,,
"Давним давно семья мыши, которые жили счастливо в мышей страна, столкнулся с серьезной проблемой.",давним,давным,Ortho,,"еще можно думать про Infl, т к давний "
"Давним давно семья мыши, которые жили счастливо в мышей страна, столкнулся с серьезной проблемой.",страна,стране,Gov,,
Ну рабочие место я получила.,рабочие,рабочее,Ortho,,
В прошлом летом я отдыхала с молодом человеком в Грузии.,,,Ortho,,"Больше похоже на ошибку в употреблении предога -- добавление его там, где его не должно быть, или на ошибку в конструкции(ср. как в образце разметки: На большей части моей жизни > Большую часть). Как и в ошибках с конструкциями, эта ошибка затрагивает "" выбор или форму более одной единицы или связана с пропуском/добавлением единицы"""
До школи я била в детском саду.,школи,школы,Infl,,
До школи я била в детском саду.,била,была,Ortho,,
"Это было для меня важным занятиям, и я ходила много раз в неделю на тренировки.",занятиям,занятием,Gov,,
Я хорошо училась и была замечательни студент.,замечательни,замечательный,Infl,,Subst?
"Чем больше Вы будите улыбаться, тем больше Вы начнете чувствовать себя счастливым.",будите,будете,Ortho,,"можно еще думать про Infl, т.к. у глагола быть в парадигме отсутствует окончание на -ите."
"Язык не мертвой, он живой, и постоянно изменяющийся.",мертвой,мертвый,Ortho,,Infl ?
Последная важная информация о мне – моя фамилия.,последная,последняя,Infl,,предлог о вместо обо -- какая ошибка?
Этам летом я буду работаю.,этам,этим,Infl,,буду работаю ?
"Сдраствуйте, на этой недели не получится прийти, но на следущей я могла бы прийти в понедельник после четырёх?",Сдраствуйте,Здравствуйте,Ortho,,
"Сдраствуйте, на этой недели не получится прийти, но на следущей я могла бы прийти в понедельник после четырёх?",недели,неделе,Ortho,,"Может еще Gov, если пишущий не знает, что на требует творительного падежа и поэтому намеренно поставил в родительный. "
"Сдраствуйте, на этой недели не получится прийти, но на следущей я могла бы прийти в понедельник после четырёх?",следущей,следующей,Ortho,Misspell,
С моим друг играим футбол.,друг,другом,Gov,,
