example,tag,quote,change,обоснование
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,ortho,поехола,поехала,схожесть фонетических особенностей
,ortho,циганей,цыганей,мена ы/и
"Кочегар – пероидически положит уголь в камин, на пример, в старом поезде, чтобы огонь не кончился.",Ortho,пероидически,периодически,перестановка двух соседних элементов
"Туристы смогут осмотреть многоэтажные брощенные дома, школы, и мертвые деревни, где среди бела дня бегают волки и дикие кабаны.",Typo,брощенные,брошенные,графическая схожесть символов
В это петлю попадает каждий иммигрант который покидает свою родину,ortho,это,эту,схожесть фонетических особенностей
,ortho,каждий,каждый,близость фонетических особенностей
"Человек продук общества и обстоятельств, которые происчодят в его жизни. ",typo,происчодят,происходят,замена буквы
"Конечно, есть личные идеологии и мнениея, но общество сильное и оно вокруг нас каждый момент нашего существования и оно имеет очень сильныйимпакт на нашу жизнь",Typo,мнениея,мнения,добавление лишнего символа
"А также два президента Российской Федерации, В. Путин и Д. А Медведев, являются вупискниками СПбГУ.",Ortho,вупискниками,выпускниками,перестановка двух элементов
,Ortho,,,
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые",Typo,веши,вещи,схожесть символов
,ortho,путошествые,путешествия,схожесть фонетических особенностей
,ortho,,,схожесть фонетических особенностей
"Да, мне очены павезло, што я магу гаварит и песаты по риски. ",Typo,очены,очень,схожесть символов
,ortho,што,что,схожесть фонетических особенностей
,ortho,магу,могу,схожесть фонетических особенностей
,ortho,гаварит,говорить,схожесть фонетических особенностей
,ortho,,,
,ortho,песаты,писать,схожесть фонетических особенностей
,Typo,,,схожесть символов
,Misspell,риски,русски,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",Misspell,димаю,думаю,невозможно объяснить
,ortho,што,что,неверное отображение звуков на письме
,ortho,ето,это,близость фонетических особенностей
,typo,очены,очень,графическая схожесть символов
,ortho,поможит,поможет,схожесть фонетических особенностей
,ortho,ва,во,схожесть фонетических особенностей
,ortho,сабираюс,собираюсь,схожесть фонетических особенностей
,ortho,,,"пропуск буквы(""ь"")"
,ortho,делат,делать,"пропуск буквы (""ь"")"
из за етово когда они взроцлеют они продолжают её читать,ortho,етово,этого,близость фонетических особенностей
,ortho,,,схожесть фонетических особенностей
,ortho,взроцлеют,взрослеют,близость фонетических особенностей
Антон был очень добрый малчик и всегда заботился о бабушке.,ortho,малчик,мальчик,"пропуск буквы (""ь"")"
И она дала отпор смерте.,ortho,смерте,смерти,схожесть фонетических особенностей
Если она устала испозуют инвалидной коляской.,typo,испозуют,используют,пропуск букв
"Однако, так как она была безответственно матерью, однажди она попросила своей девочке отнести к бабушке хлеб, масло и вино.",ortho,однажди,однажды,близость фонетических особенностей
"Весь дом был чыстый когда пришла и волк был одет в бабушкой одежде ( он, кроме другие лиц, был умным волком).",ortho,чыстый,чистый,близость фонетических особенностей
Спасибо болшой но у меня есть уже что-то чтобы сесть.,ortho,болшой,большой,"пропуск буквы  (""ь"")"
У тебя такие болшие ушы.,ortho,болшие,большие,"пропуск буквы (""ь"")"
,ortho,ушы,уши,близость фонетических особенностей
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",ortho,завут,зовут,близость фонетических особенностей
,ortho,скривается,скрывается,близость фонетических особенностей
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",ortho,страни,страны,близость фонетических особенностей
,typo,берю,верю,графическая схожесть символов
,"относится ли это к ortho, typo или misspell",интересоваятся,интересуются,
Красиво и окуратно.,ortho,окуратно,аккуратно,близость фонетических особенностей
,ortho,,,пропуск буквы
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»
",Misspell,гуды,году,
"Они ходят на этот курс, чтобы получить бывшие квалификацы.
",ortho,квалификацы,квалификации,
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",ortho,Гетсви,Гэтсби,близость фонетических особенностей
,Typo,,,
,ortho,ано,оно,близость фонетических особенностей
,Misspell,соеграло,сыграло,
"Во время СССР небыло, как он сказала об образовании, xорошиx текник, так что врачи не могли сделать серьёзные анализы.",ortho,текник,техник,
Симейноя жизьнь в моём мнение выглядит по другому.,ortho,симейноя,семейная,близость фонетических особенностей
,ortho,,,близость фонетических особенностей
,ortho,жизьнь,жизнь,
Есть больше быворы.,Typo,больше,большие,пропуск буквы
,Ortho,быворы,выборы,перестановка двух букв
Но только если он идёт безустановленно на пойске драгоценности.,Typo,пойске,поиски,схожесть символов
,ortho,,,близость фонетических особенностей
То есть у всех была возможность идти к врачу без платно.,ortho,без платно,бесплатно,близость фонетических особенностей
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",Ortho,сводобным,свободным,перестановка двух букв
,ortho,соответсвенно,соответственно,случайный пропуск буквы или фонетически обусловленный?
"Конечно же, всё не может быт совершенным.",ortho,быт,быть,пропуск буквы
Я думаю что это случо хороwо описавоет что такое друг.,ortho+typo,случо,случай,пропуск букв + фонетическая схожесть о/а
,ortho,описавоет,описывает,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",Typo,рекламые,рекламные,пропуск буквы
,Typo,именнио,именно,пропуск буквы
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",Typo,псохолог,психолог,замена буквы
,Typo,дуамаю,думаю,добавление лишнего символа
,Ortho,нидивидуальность,индивидуальность,перестановка двух букв
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",Typo,настайвать,настаивать,графическая схожесть символов
,Typo,тоько,только,пропуск буквы
"Заниатя проходят онлайн, поетому у меня много свободного времени.",ortho,заниатя,занятия,
,ortho,поетому,поэтому,близость фонетических особенностей
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",ortho,компутерные,компьютерные,близость фонетических особенностей
,ortho,другых,других,близость фонетических особенностей
,Typo,третые,третие,схожесть графических символов
,ortho,хорошым,хорошем,близость фонетических особенностей
Там он встречает одну девушку которая его вдухвляет.,Misspell,вдухвляет,вдохнавляет,
"Весь год она работала болентором в центре для детей мигрантов, она верит что, какой из них ей нравится больше и кем она хочет стать, какую профессию ей выбрать.",Typo,болентором,волонтёром,графическая схожесть символов
,ortho,,,
,ortho,,,
В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,ortho,карабле,корабле,
,ortho,сталом,столом,
