example,quote,change,tag,комментарий
"Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там. 
",поехола,поехала,ortho,
"Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там. 
",Эфельную,Эйфелеву,misspell,
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,циганей,цыган,misspell,
"Кочегар – пероидически положит уголь в камин, на пример, в старом поезде, чтобы огонь не кончился.",пероидически,переодически,misspell,
"Туристы смогут осмотреть многоэтажные брощенные дома, школы, и мертвые деревни, где среди бела дня бегают волки и дикие кабаны.",брощенные,брошенные,ortho,
В это петлю попадает каждий иммигрант который покидает свою родину,каждий,каждый ,ortho,
"Человек продук общества и обстоятельств, которые происчодят в его жизни.",продук,продукт,ortho,
"Человек продук общества и обстоятельств, которые происчодят в его жизни.",происчодят,происходят,ortho,
"Конечно, есть личные идеологии и мнениея, но общество сильное и оно вокруг нас каждый момент нашего существования и оно имеет очень сильныйимпакт на нашу жизнь.",мнениея,мнения,ortho,
"А также два президента Российской Федерации, В. Путин и Д. А Медведев, являются вупискниками СПбГУ.",вупискниками,выпускниками,misspell,
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые.",веши,вещи,ortho,
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые.",путошествые,путешествие,misspell,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",очены,очень,ortho,Ошибка скорее всего связана с внешним сходством ы и ь.
"Да, мне очены павезло, што я магу гаварит и песаты по риски. 
",павезло,повезло,ortho,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",што,что,ortho,
"Да, мне очены павезло, што я магу гаварит и песаты по риски. 
",магу,могу,ortho,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",гаварит,говорить,misspell,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",песаты,писать,misspell,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",по-риски,по-русски,misspell,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",димаю,думаю,ortho,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",што,что,ortho,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",ето,это,ortho,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",очены,очень,ortho,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",поможит,поможет,ortho,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",ва,во,ortho,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",сабираюсь,собираюсь,ortho,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",делат,делать,ortho,
из за етово когда они взроцлеют они продолжают её читать.,етово,этого,misspell,
"из за етово когда они взроцлеют они продолжают её читать.
",взроцлеют,взрослеют,ortho,
Антон был очень добрый малчик и всегда заботился о бабушке.,малчик,мальчик,ortho,
И она дала отпор смерте.,смерте,смерти,ortho,
Если она устала испозуют инвалидной коляской.,испозуют,используют,misspell,
"Однако, так как она была безответственно матерью, однажди она попросила своей девочке отнести к бабушке хлеб, масло и вино.",однажди,однажды,ortho,
"Весь дом был чыстый когда пришла и волк был одет в бабушкой одежде ( он, кроме другие лиц, был умным волком).
",чыстый,чистый,ortho,
Спасибо болшой но у меня есть уже что-то чтобы сесть.,болшой,большой,ortho,
У тебя такие болшие ушы.,ушы,уши,ortho,
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",завут,зовут,ortho,
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",скривается,скрывается,ortho,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",страни,страны,ortho,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",берю,верю,ortho,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",достоточно,достаточно,ortho,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.
",интересоваятся,интересуются,misspell,"Неясно, что именно хотели сказать из-за сломаного синтаксиса"
Красиво и окуратно.,окуратно,аккуратно,misspell,
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",гуды,году,misspell,
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",устроится,устроиться,ortho,
"Они ходят на этот курс, чтобы получить бывшие квалификацы.",квалификацы,квалификации,misspell,
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.
",ано,оно,ortho,
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",соеграло,сыграло,misspell,
"Во время СССР небыло, как он сказала об образовании, xорошиx текник, так что врачи не могли сделать серьёзные анализы.",текник,техник,ortho,
Симейноя жизьнь в моём мнение выглядит по другому.,симейноя,семейная,misspell,
"Симейноя жизьнь в моём мнение выглядит по другому.
",жизьнь,жизнь,ortho,
Есть больше быворы.,быворы,выборы,misspell,"Нужен контекст монолога, потому что совсем не понятно о чем говорил автор"
Но только если он идёт безустановленно на пойске драгоценности.,пойске,поиски,misspell,
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше
",пренудительным,принудительным,ortho,
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше
",сводобный,свободный,misspell,
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",соответсвенно,соответственно,ortho,
"Конечно же, всё не может быт совершенным.",быт,быть,ortho,
Я думаю что это случо хороwо описавоет что такое друг.,случо,случай,misspell,
Я думаю что это случо хороwо описавоет что такое друг.,описавоет,описывает,misspell,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",рекламые,рекламные,ortho,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",именнио,именно,ortho,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",псохолог,психолог,ortho,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",дуамаю,думаю,ortho,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",нидивидуальность,индивидивидуальность,misspell,
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.
",нужна,нужно,ortho,
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",настайвать,настраивать,misspell,
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",тоько,только,ortho,
"Заниатя проходят онлайн, поетому у меня много свободного времени. ",заниатя,занятия,misspell,
"Заниатя проходят онлайн, поетому у меня много свободного времени. ",поетому,поэтому,ortho,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.
",компутерные,компьютерные,misspell,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",другых,других,ortho,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",третые,третьи,misspell,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",учаться,учатся,ortho,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.
",хорошым,хорошем,ortho,
Там он встречает одну девушку которая его вдухвляет.,вдухвляет,вдохновляет,misspell,
"Весь год она работала болентором в центре для детей мигрантов, она верит что, какой из них ей нравится больше и кем она хочет стать, какую профессию ей выбрать.",болентором,волонтером,misspell,
В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,карабле,корабле,ortho,
В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,сталом,столом,ortho,
В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,пишит,пишет,ortho,
