example,tag,quote,change,Обоснование
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,Ortho,поехола,поехала,Схожесть фонетических особенностей
,Misspell,Эфельную,Эйфелеву,
,Ortho,циганей,цыганей,мена ы/и
"Кочегар – пероидически положит уголь в камин, на пример, в старом поезде, чтобы огонь не кончился.",Ortho,пероидически,периодически,перестановка двух символов
"Туристы смогут осмотреть многоэтажные брощенные дома, школы, и мертвые деревни, где среди бела дня бегают волки и дикие кабаны.",Typo,брощенные,брошенные,схожесть символов
В это петлю попадает каждий иммигрант который покидает свою родину,Ortho,это,эту,схожесть фонетических особенностей
,Ortho,каждий,каждый,меня ы/и
"Человек продук общества и обстоятельств, которые происчодят в его жизни.",Typo,продук,продукт,пропуск буквы
,Typo,происчодят,происходят,"замена буквы, не объяснимая фонетикой"
"Конечно, есть личные идеологии и мнениея, но общество сильное и оно вокруг нас каждый момент нашего существования и оно имеет очень сильныйимпакт на нашу жизнь",Ortho,мнениея,мнения,Добавление лишней буквы
"А также два президента Российской Федерации, В. Путин и Д. А Медведев, являются вупискниками СПбГУ.",Misspell,вупискниками,выпускниками,
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые.",Ortho,веши,вещи,"замена буквы, объяснимая фонетикой"
,Ortho,путошествые,путешествие,"замена буквы, объяснимая фонетикой; меня ы/и"
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",Typo,очены,очень,схожесть символов
,Ortho,павезло,повезло,"замена буквы, объяснимая фонетикой"
,Ortho,што,что,"замена буквы, объяснимая фонетикой"
,Ortho,магу,могу,"замена буквы, объяснимая фонетикой"
,Ortho,гаварит,говорить,"замена буквы, объяснимая фонетикой х2; пропуск буквы"
,Ortho+Typo,песаты,писать,"замена буквы, объяснимая фонетикой; схожесть символов"
,Misspell,риски,русски,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",Ortho,димаю,думаю,"замена буквы, не объяснимая фонетикой"
,Ortho,што,что,"замена буквы, объяснимая фонетикой"
,Ortho,ето,это,"замена буквы, объяснимая фонетикой"
,Typo,очены,очень,схожесть символов
,Ortho,поможит,поможет,"замена буквы, объяснимая фонетикой"
,Ortho,ва,во,"замена буквы, объяснимая фонетикой"
,Ortho,сабираюс,собираюсь,"замена буквы, объяснимая фонетикой; пропуск буквы"
,Ortho,делат,делать,пропуск буквы
из за етово когда они взроцлеют они продолжают её читать,Ortho,етово,этого,"замена буквы, объяснимая фонетикой х2"
,Ortho,взроцлеют,взрослеют,"замена буквы, объяснимая фонетикой"
Антон был очень добрый малчик и всегда заботился о бабушке.,Ortho,малчик,мальчик,пропуск буквы
