example,quote,change,tag,Доп. тег,Другой тег
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,поехола,поехала,Ortho,Subst,
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,Эфельную,Эйфелеву,Misspell,Translit,
Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.,циганей,цыган,Misspell,,
"Кочегар – пероидически положит уголь в камин, на пример, в старом поезде, чтобы огонь не кончился.",пероидически,периодически,Misspell,Transp,
"Туристы смогут осмотреть многоэтажные брощенные дома, школы, и мертвые деревни, где среди бела дня бегают волки и дикие кабаны.",брощенные,брошенные,Ortho,Subst,
"Человек продук общества и обстоятельств, которые происчодят в его жизни.",продук,продукт,Ortho,Miss,
"Человек продук общества и обстоятельств, которые происчодят в его жизни.",происчодят,происходят,Ortho,Subst,
"А также два президента Российской Федерации, В. Путин и Д. А Медведев, являются вупискниками СПбГУ.",вупискниками,выпускниками,Misspell,,
"Мои самые любимые веши – хорошая еда, фильм, игры и путошествые.",путошествые,путешествия,Ortho,Infl,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",очены,очень,Ortho,Subst,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",што,что,Ortho,Subst,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",магу,могу,Ortho,Subst,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",гаварит,говорить,Misspell,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",песаты,писать,Misspell,,
"Да, мне очены павезло, што я магу гаварит и песаты по риски.",по риски,по-русски,Misspell,Hyphen,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",димаю,думаю,Ortho,Subst,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",што,что,Ortho,Subst,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",ето,это,Ortho,Subst,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",ва,во,Ortho,Subst,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",сабираюс,собираюсь,Misspell,Miss,
"Я димаю, што через пару лет мне ето очены поможит ва всём, в чём я сабираюс делат.",делат,делать,Ortho,Miss,
из за етово когда они взроцлеют они продолжают её читать.,етово,этого,Misspell,,
из за етово когда они взроцлеют они продолжают её читать.,взроцлеют,взрослеют,Ortho,Subst,
Антон был очень добрый малчик и всегда заботился о бабушке.,малчик,мальчик,Ortho,Miss,
Если она устала испозуют инвалидной коляской.,испозуют,пользоваться,Misspell,Not-clear,
"Весь дом был чыстый когда пришла и волк был одет в бабушкой одежде ( он, кроме другие лиц, был умным волком).",чыстый,чистый,Ortho,Subst,
"Весь дом был чыстый когда пришла и волк был одет в бабушкой одежде ( он, кроме другие лиц, был умным волком).",бабушкой,бабушкиной,Misspell,,
Спасибо болшой но у меня есть уже что-то чтобы сесть.,болшой,большое,Ortho,Miss,
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",завут,зовут,Ortho,Subst,
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",скривается,скрывается,Ortho,Subst,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",берю,верю,Ortho,Subst,
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",не достоточно,недостаточно,Ortho,Subst,Space
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",интересоваятся,интересуюут(ся),Misspell,Not-clear,
Красиво и окуратно.,окуратно,аккуратно,Misspell,,
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",гуды,году,Misspell,,
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",устроится,утроится,Ortho,Extra,
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",ано,оно,Ortho,Subst,
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",соеграло,сыграло,Misspell,,
"Во время СССР небыло, как он сказала об образовании, xорошиx текник, так что врачи не могли сделать серьёзные анализы.",текник,техник,Ortho,Subst,
Симейноя жизьнь в моём мнение выглядит по другому.,Симейноя,Семейная,Ortho,Subst,Infl
Симейноя жизьнь в моём мнение выглядит по другому.,жизьнь,жизнь,Ortho,Extra,
Есть больше быворы.,быворы,выборы,Misspell,Transp,
Но только если он идёт безустановленно на пойске драгоценности.,пойске,поиски,Ortho,Subst,Infl
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",соответсвенно,соответственно,Ortho,Miss,
"Конечно же, всё не может быт совершенным.",быт,быть,Ortho,Miss,
Я думаю что это случо хороwо описавоет что такое друг.,описавоет,описывает,Misspell,,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",рекламые,рекламные,Ortho,Miss,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",оказывают,показывают,Ortho,Miss,
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",именнио,именно,Ortho,Extra,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",псохолог,психолог,Ortho,Subst,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",дуамаю,думаю,Ortho,Extra,
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",нидивидуальность,индивидуальность,Misspell,Transp,
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",настайвать,настаивать,Ortho,Subst,
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",тоько,только,Ortho,Miss,
"Заниатя проходят онлайн, поетому у меня много свободного времени. ",заниатя,занятия,Misspell,,
"Заниатя проходят онлайн, поетому у меня много свободного времени. ",поетому,поэтому,Ortho,Subst,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",компутерные,компьютерные,Misspell,,
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",третые,третьи,Misspell,,Infl
Там он встречает одну девушку которая его вдухвляет.,вдухвляет,вдохновляет,Misspell,,
"Весь год она работала болентором в центре для детей мигрантов, она верит что, какой из них ей нравится больше и кем она хочет стать, какую профессию ей выбрать.",болентором,волонтером,Misspell,,
В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,карабле,корабле,Ortho,Subst,
В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,сталом,столом,Ortho,Subst,
