Sent,Error,annotator_DeepSeek_new1,annotator_DeepSeek_new2,annotator_DeepSeek_new3,annotator_Claude_new1,annotator_Claude_new2,annotator_Claude_new3,annotator_DeepSeek_old1,annotator_DeepSeek_old2,annotator_DeepSeek_old3,annotator_Claude_old1,annotator_Claude_old2,annotator_Claude_old3,annotator_gpt_new1,annotator_gpt_new2,annotator_gpt_new3,annotator_gpt_old1,annotator_gpt_old2,annotator_gpt_old3,annotator_gemini_new1,annotator_gemini_new2,annotator_gemini_new3,annotator_gemini_old1,annotator_gemini_old2,annotator_gemini_old3
Жизнь прожиить — не по́ле перейтии.,прожиить,Ortho,Ortho,Ortho,Typo,Typo,Typo,Ortho+Subst,Ortho+Subst,Ortho+Subst,Ortho+Extra,Ortho+Extra,Ortho+Extra,Ortho,Graph,Ortho,Miss,Ortho+Extra,Ortho+Extra,Ortho,Ortho,Ortho,Ortho+Extra,Ortho+Extra,Ortho+Extra
Жизнь прожиить — не по́ле перейтии.,поле,Ortho,Ortho,,,,,,Ortho+Subst,Misspell,,,,,,,,,,,,Typo,,,Ortho
Жизнь прожиить — не по́ле перейтии.,перейтии,Ortho,Ortho,Ortho,Typo,Typo,Typo,,Ortho+Subst,Ortho+Subst,Ortho+Extra,Ortho+Extra,Ortho+Extra,Ortho,Graph,Ortho,Miss,Ortho+Extra,Ortho+Extra,Ortho,Ortho,Ortho,Ortho+Extra,Ortho+Extra,Ortho+Extra
Жизнь прожиить — не по́ле перейтии.,по́ле перейтии,,,,,,,Idiom,,,,,,,,,,,,,,,,,
"Каждый человек совершает ошибки, некоторые из них маленькие, некоторые влияют нашу жизнь, но ошибки неизбежны.",влияют нашу жизнь,Gov,Gov,Gov,Gov,Gov,Gov,Gov,,Miss,Gov,Gov+Miss,Gov,Gov,Gov,Gov,Gov,Gov,Gov,Gov,Prep+Miss,Gov,Gov,Gov+Subst,Gov+Subst
"Однако общество, в котором мы живем, заставляет нас стыдиться своих ошибок: каждий ошибка считается как грех, и мы чувствуем себя неудачниками.",каждий,Ortho,Ortho,Ortho,Infl,Infl,Ortho,Ortho+Subst,Ortho+Subst,Gender,Ortho+Subst,,Ortho+Subst,Infl,Graph,Infl,AgrGender+Subst,Infl+Subst,Infl+Subst,Ortho,,AgrGender,AgrGender,AgrGender+Subst,AgrGender+Subst
"Однако общество, в котором мы живем, заставляет нас стыдиться своих ошибок: каждий ошибка считается как грех, и мы чувствуем себя неудачниками.",каждий ошибка,,,,,,AgrGender,AgrGender,,,AgrGender,,AgrGender,AgrGender,Syntax,AgrGender,AgrCase,AgrGender,AgrGender,AgrGender,AgrGender,,,,
"Однако общество, в котором мы живем, заставляет нас стыдиться своих ошибок: каждий ошибка считается как грех, и мы чувствуем себя неудачниками.",как грех,Prep,Conj,Gov,Constr,Constr,,Conj,,Constr+Subst,Constr+Subst,,,Constr,Constr+Transfer,Constr,Constr,Constr,Constr,,Constr,Constr+Transfer,Constr,Constr,Gov+Extra
"Наши рабочные и светские жизни должны быть идеальные, без ошибок.",рабочные,Morph,Misspell,Deriv,Deriv,Deriv,Deriv,Deriv,Ortho+Subst,Ortho+Subst,Deriv,Ortho+Subst,Deriv,Deriv,Lex,Deriv,Lex,Deriv,Deriv,Ortho,Ortho,Deriv,Deriv,Deriv+Insert,Deriv+Insert
"Наши рабочные и светские жизни должны быть идеальные, без ошибок.",светские,Lex,,Lex,,,,Lex,,,,,,,,,,,,,,,Lex,,
